3	5	10	537	12900
4	4	0	183	159587
1	5	0	287	1000
5	5	10	915	1236
6	3	10	238	2000
4	5	0	432	1750
6	7	0	281	1535
5	8	0	152	1809
4	4	10	605	1750
4	1	0	232	1200
4	5	10	210	2763
4	3	10	729	925
5	6	10	739	1628
4	3	10	161	1450
5	3	10	506	830
3	5	10	460	1500
6	1	0	275	2500
6	4	0	268	928
3	1	10	297	3000
5	1	10	138	1250
2	5	10	672	138130
5	5	10	241	1258
4	1	10	106	575
10	5	10	262	500
2	7	10	40	1992
3	5	10	356	753
6	3	10	185	1500
5	1	10	246	3000
5	5	10	436	2500
2	3	0	315	1100
2	5	10	737	750
3	6	10	78	350
3	5	10	302	29
4	3	10	600	1125
3	4	0	212	858
3	5	10	209	1341
4	7	10	171	1317
3	3	10	189	877
1	5	10	3556	7750
1	5	10	287	4298
5	7	0	507	1279
2	1	10	82	750
5	1	0	141	1000
2	5	0	301	975
6	5	0	346	1550
3	3	10	212	1623
3	6	10	328	1543
2	0	0	171	1425
7	3	10	274	1250
8	5	0	248	921
4	6	0	146	2750
4	3	10	913	1000
6	2	0	333	1212
4	3	10	501	2250
1	2	10	70	1008
5	5	10	369	1100
3	6	10	224	1420
4	3	10	111	1000
3	1	0	87	1100
6	3	0	270	980
5	2	10	416	1587
3	3	0	413	1472
5	5	10	134	2250
4	5	10	220	4250
3	3	10	118	900
4	5	10	203	468
3	4	0	142	1626
5	6	10	424	1850
4	5	10	86	6250
5	5	10	286	1000
2	5	0	171	750
3	7	10	462	976
5	4	0	232	1796
4	1	10	114	525
2	4	0	211	1000
4	8	10	74	450
3	3	10	379	855
5	5	10	253	992
1	3	10	223	1375
3	1	0	851	2250
2	8	0	462	1662
10	5	10	180	67531
2	5	10	288	2250
5	3	10	210	1100
1	5	10	186	1850
5	5	10	284	1100
4	3	10	129	640
5	3	10	100	1200
4	5	0	400	1200
3	5	10	89	1750
4	3	10	240	1250
1	3	10	269	1200
5	3	0	226	1590
1	3	10	192	2500
6	5	0	329	2350
1	3	10	275	1900
5	4	10	222	1072
3	3	10	232	850
5	3	0	173	465
4	5	0	274	1708
9	3	10	89	435
2	1	10	305	1225
5	6	0	2801	1994
4	6	10	133	4650
2	0	0	171	907
